"S3","Kosal","Khmer","2025-01-01","Battambang","kosal.khmer3@stu.kdc.edu","870003","kdc2025","true"
"S4","Sovann","Khmer","2025-01-01","Kampong Cham","sovann.khmer4@stu.kdc.edu","870004","kdc2025","true"
"S5","Vannak","Khmer","2025-01-01","Kampong Thom","vannak.khmer5@stu.kdc.edu","870005","kdc2025","true"
"S6","Ravy","Khmer","2025-01-01","Takeo","ravy.khmer6@stu.kdc.edu","870006","kdc2025","true"
"S7","Borey","Khmer","2025-01-01","Kandal","borey.khmer7@stu.kdc.edu","870007","kdc2025","true"
"S8","Sokhom","Khmer","2025-01-01","Preah Sihanouk","sokhom.khmer8@stu.kdc.edu","870008","kdc2025","true"
"S9","Makara","Khmer","2025-01-01","Svay Rieng","makara.khmer9@stu.kdc.edu","870009","kdc2025","true"
"S20","Sokleap","Khmer","2025-01-01","Kampot","sokleap.khmer20@stu.kdc.edu","870020","kdc2025","true"
"S22","Vicheka","Khmer","2025-01-01","Pailin","vicheka.khmer22@stu.kdc.edu","870022","kdc2025","true"
"S21","Rasmey","Khmer","2025-01-01","Koh Kong","rasmey.khmer21@stu.kdc.edu","870021","kdc2025","true"
"S24","Kanha","Khmer","2025-01-01","Sihanoukville","kanha.khmer24@stu.kdc.edu","870024","kdc2025","true"
"S23","Chetra","Khmer","2025-01-01","Odor Meanchey","chetra.khmer23@stu.kdc.edu","870023","kdc2025","true"
"S25","Chhay","Khmer","2025-01-01","Stung Treng","chhay.khmer25@stu.kdc.edu","870025","kdc2025","true"
"S11","Sina","Khmer","2025-01-01","Ratanakiri","sina.khmer11@stu.kdc.edu","870011","kdc2025","true"
"S10","Chanthy","Khmer","2025-01-01","Kratie","chanthy.khmer10@stu.kdc.edu","870010","kdc2025","true"
"S13","Nita","Khmer","2025-01-01","Kep","nita.khmer13@stu.kdc.edu","870013","kdc2025","true"
"S12","Dalin","Khmer","2025-01-01","Mondulkiri","dalin.khmer12@stu.kdc.edu","870012","kdc2025","true"
"S15","Kanika","Khmer","2025-01-01","Pursat","kanika.khmer15@stu.kdc.edu","870015","kdc2025","true"
"S14","Sreypov","Khmer","2025-01-01","Tboung Khmum","sreypov.khmer14@stu.kdc.edu","870014","kdc2025","true"
"S17","Pisey","Khmer","2025-01-01","Takeo","pisey.khmer17@stu.kdc.edu","870017","kdc2025","true"
"S16","Theary","Khmer","2025-01-01","Kampong Speu","theary.khmer16@stu.kdc.edu","870016","kdc2025","true"
"S19","Mony","Khmer","2025-01-01","Banteay Meanchey","mony.khmer19@stu.kdc.edu","870019","kdc2025","true"
"S18","Sokun","Khmer","2025-01-01","Prey Veng","sokun.khmer18@stu.kdc.edu","870018","kdc2025","true"
"S1","Visal","Khmer","2025-01-01","Phnom Penh","visal.khmer1@stu.kdc.edu","870001","kdc2025","true"
"S2","Piseth","Khmer","2025-01-01","Siem Reap","piseth.khmer2@stu.kdc.edu","870002","kdc2025","true"
